member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
1296599,5000,5000,4975.0,36,10.65,162.87,B,B2,No Title,10,RENT,24000.0,Verified,2011-12-01,1,credit_card,Computer,860xx,AZ,27.65,1985-01-01,1,84.0,3,13648,83.7,9,5861.071414,5831.78,5000.0,861.07,0.0,0.0,2015-01-01,171.62,2016-01-01
1314167,2500,2500,2500.0,60,15.27,59.83,C,C4,Ryder,1,RENT,30000.0,Source Verified,2011-12-01,0,car,bike,309xx,GA,1.0,1999-04-01,5,84.0,3,1687,9.4,4,1008.71,1008.71,456.46,435.17,117.08,1.11,2013-04-01,119.66,2013-09-01
1313524,2400,2400,2400.0,36,15.96,84.33,C,C5,No Title,10,RENT,12252.0,Not Verified,2011-12-01,1,small_business,real estate business,606xx,IL,8.72,2001-11-01,2,84.0,2,2956,98.5,10,3003.653644,3003.65,2400.0,603.65,0.0,0.0,2014-06-01,649.91,2016-01-01
1277178,10000,10000,10000.0,36,13.49,339.31,C,C1,AIR RESOURCES BOARD,10,RENT,49200.0,Source Verified,2011-12-01,1,other,personel,917xx,CA,20.0,1996-02-01,1,35.0,10,5598,21.0,37,12226.30221,12226.3,10000.0,2209.33,0.0,0.0,2015-01-01,357.48,2015-01-01
1311748,3000,3000,3000.0,60,12.69,67.79,B,B5,University Medical Group,1,RENT,80000.0,Source Verified,2011-12-01,1,other,Personal,972xx,OR,17.94,1996-01-01,0,38.0,15,27783,53.9,38,3242.17,3242.17,2233.1,1009.07,0.0,0.0,2016-01-01,67.79,2016-01-01
1311441,5000,5000,5000.0,36,7.9,156.46,A,A4,Veolia Transportaton,3,RENT,36000.0,Source Verified,2011-12-01,1,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,2004-11-01,3,84.0,9,7963,28.3,12,5631.377753,5631.38,5000.0,631.38,0.0,0.0,2015-01-01,161.03,2015-09-01
1304742,7000,7000,7000.0,60,15.96,170.08,C,C5,Southern Star Photography,8,RENT,47004.0,Not Verified,2011-12-01,1,debt_consolidation,Loan,280xx,NC,23.51,2005-07-01,1,84.0,7,17726,85.6,11,8136.84,8136.84,5110.85,3025.99,0.0,0.0,2016-01-01,170.08,2016-01-01
1288686,3000,3000,3000.0,36,18.64,109.43,E,E1,MKC Accounting ,9,RENT,48000.0,Source Verified,2011-12-01,1,car,Car Downpayment,900xx,CA,5.35,2007-01-01,2,84.0,4,8221,87.5,4,3938.144334,3938.14,3000.0,938.14,0.0,0.0,2015-01-01,111.34,2014-12-01
1306957,5600,5600,5600.0,60,21.28,152.39,F,F2,No Title,4,OWN,40000.0,Source Verified,2011-12-01,0,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,2004-04-01,2,84.0,11,5210,32.6,13,646.02,646.02,162.02,294.94,189.06,2.09,2012-04-01,152.39,2012-08-01
1306721,5375,5375,5350.0,60,12.69,121.45,B,B5,Starbucks,1,RENT,15000.0,Verified,2011-12-01,0,other,Building my credit history.,774xx,TX,18.08,2004-09-01,0,84.0,2,9279,36.5,3,1476.19,1469.34,673.48,533.42,269.29,2.52,2012-11-01,121.45,2013-03-01
1305201,6500,6500,6500.0,60,14.65,153.45,C,C3,Southwest Rural metro,5,OWN,72000.0,Not Verified,2011-12-01,1,debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,1998-01-01,2,84.0,14,4032,20.6,23,7677.52,7677.52,6500.0,1177.52,0.0,0.0,2013-06-01,1655.54,2015-12-01
1305008,12000,12000,12000.0,36,12.69,402.54,B,B5,UCLA,10,OWN,75000.0,Source Verified,2011-12-01,1,debt_consolidation,Consolidation,913xx,CA,10.78,1989-10-01,0,84.0,12,23336,67.1,34,13943.08,13943.08,12000.0,1943.08,0.0,0.0,2013-09-01,6315.3,2013-08-01
1298717,9000,9000,9000.0,36,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,1,RENT,30000.0,Source Verified,2011-12-01,0,debt_consolidation,freedom,245xx,VA,10.08,2004-04-01,1,84.0,4,10452,91.7,9,2270.7,2270.7,1256.14,570.26,444.3,4.16,2012-07-01,305.38,2012-11-01
1304956,3000,3000,3000.0,36,9.91,96.68,B,B1,Target,3,RENT,15000.0,Source Verified,2011-12-01,1,credit_card,citicard fund,606xx,IL,12.56,2003-07-01,2,84.0,11,7323,43.1,11,3478.981915,3478.98,3000.0,478.98,0.0,0.0,2015-01-01,102.43,2016-01-01
1303503,10000,10000,10000.0,36,10.65,325.74,B,B2,SFMTA,3,RENT,100000.0,Source Verified,2011-12-01,0,other,Other Loan,951xx,CA,7.06,1991-05-01,2,84.0,14,11997,55.5,29,7471.99,7471.99,5433.47,1393.42,645.1,6.3145,2013-10-01,325.74,2014-03-01
1304871,1000,1000,1000.0,36,16.29,35.31,D,D1,Internal revenue Service,1,RENT,28000.0,Not Verified,2011-12-01,1,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,2007-09-01,1,84.0,11,6524,81.5,23,1270.171106,1270.17,1000.0,270.17,0.0,0.0,2015-01-01,36.32,2016-01-01
1299699,10000,10000,10000.0,36,15.27,347.98,C,C4,Chin's Restaurant,4,RENT,42000.0,Not Verified,2011-12-01,1,home_improvement,Home,921xx,CA,18.6,1998-10-01,2,61.0,14,24043,70.2,28,12519.26045,12519.26,10000.0,2519.26,0.0,0.0,2015-01-01,370.46,2015-04-01
